latitude,longitude,historic,start_date,ref:mhs,wikidata,name,mhs:inscription_date,wikipedia
43.1561,-0.0662,archaeological_site,megalith,PA00095342,Q15638601,Dolmen,1889 ,
43.229289,0.068839,,19C,PA00095428,Q1702964,Haras nationaux,1975-10-29 ,fr:Haras national de Tarbes
42.864842,0.35984,yes,12C,PA00135707,Q22995410,Chapelle Saint-Etienne,1995-12-06 ,
43.252007,0.518224,city_gate,,PA00095402,Q22939948,Porte fortifiée,1933-06-23 ,
43.0025,-0.094,,20C,PA65000012,Q22997678,Lycée climatique,2008-08-14 ,
43.0432,0.4445,archaeological_site,megalith,PA00095349,Q22939908,Dolmen,1900 ,
43.188784,0.090071,castle,15C,PA00095378,Q22939931,,1977-12-06 ,
42.906528,0.358028,castle,17C,PA00095318,Q22939880,Château de Camon ou Château des Nestes,1981-12-18 ,
43.06106,0.474942,wayside_cross,19C,PA00095404,Q2934499,Calvaire du Mont-Arès,1989-03-17 ,fr:Calvaire du Mont Arès
43.1027,-0.1604,place_of_worship,christian,PA00095412,Q3584098,Église Saint-Pierre,1977-09-07 ,fr:Église Saint-Pierre de Saint-Pé-de-Bigorre
43.161789,0.279851,,19C,PA00095386,Q22939934,Viaduc de Lanespède (également sur communes de Bégode et Père),1984-12-28 ,
42.950521,-0.217474,yes,12C,PA00095323,Q2956698,Chapelle de Pouey-Laün,1954-09-11 ,fr:Chapelle de Pouey-Laün
43.1674,0.4791,archaeological_site,tumulus,PA00095315,Q22939877,Tumulus,1968-06-26 ,
43.06299,0.14651,building,17C,PA00095339,Q22939900,Maison d'Uzer,1986-10-31 ,
43.0553,0.5361,,,PA00095329,Q25063,Grotte de Gargas,1910-04-09 ,fr:Grottes de Gargas
43.320662,0.371663,tower,yes,PA00095439,Q22939984,Tour carrée,1939-12-12 ,
43.280402,-0.111395,castle,18C,PA65000003,Q22980107,,1997-07-07 ,
43.524379,0.031229,castle,14C,PA00095384,Q22939933,Château de Labatut,1982-11-25 ,
43.20726,-0.009061,building,18C,PA00095335,Q22939897,,1988-09-19 ,
43.1291,0.3656,,,PA00095360,Q22939916,Deux tumuli d'Arioulès de Chourrine et trois tumuli dits Tres Puyos,1965-07-01 ,
43.086,0.367,archaeological_site,tumulus,PA00095332,Q22939893,Tumulus dit Puyo de l'Ardoun,1970-03-02 ,
43.094878,-0.048183,tower,yes,PA00095390,Q22939938,Tour de Gavarnie,1946-02-19 ,
43.1479,-0.0617,archaeological_site,tumulus,PA00095343,Q22939904,Tumulus de la Halliade,1977-03-16 ,
42.907015,-0.029577,dovecote,yes,PA65000016,Q22997681,Pigeonnier,2010-02-22 ,
42.888528,0.348639,yes,16C,PA00095356,Q22939912,Chapelle Notre-Dame de Penetailhade,1971-07-22 ,
43.221975,0.406381,,16C,PA00095374,Q22939928,Ancienne porte de ville,1946-03-14 ,
42.863694,-0.011111,,19C,PA00095394,Q22939944,Thermes de Saint-Sauveur,1975-10-29 ,
42.5861,2.8244,monastery,11C,PA00104063,Q1944065,Prieuré Saint-Estève de Monastir-del-Camp,1875 ,fr:Monastir del Camp
42.5244,3.1095,yes,19C,PA00104188,Q22954378,Vestiges du Fort de la Mauresque,1991-04-23 ,
42.644363,2.529578,wayside_cross,15C,PA00104178,Q20775827,Croix de cimetière,1910-04-15 ,fr:Croix de cimetière de Vinça
42.58641,2.366068,citywalls,11C,PA00104152,Q18921126,Remparts de la ville,,fr:Remparts de Villefranche-de-Conflent
