latitude,longitude,historic,start_date,ref:mhs,wikidata,name,heritage,mhs:inscription_date,wikipedia
43.949230795368,4.8048542439938,,,PA00081946,Q22919068,Substructions antiques et murs de soutènement à contre forts semi-circulaires,2,1978-01-27 ,
43.94733,4.80464,building,,PA00081888,Q22916686,,,,
44.014346,5.084932,yes,C17,PA00082111,Q14627575,Chapelle Saint-Roch (ancienne),3,1978-07-27 ,fr:Chapelle Saint-Roch de Pernes-les-Fontaines
43.998271,5.060416,fountain,yes,PA00082120,Q22674001,Fontaine Reboul,3,1928-09-29 ,fr:Fontaines de Pernes-les-Fontaines
44.12361,5.18111,,C18,PA84000054,Q15952787,"Monument commémoratif aux victimes de la Révolution, dit aussi la pyramide",3,2009-07-23 ,fr:Monument commémoratif aux victimes de la Révolution (Bédoin)
43.97378,4.90065,,,PA00082202,Q22986596,Porte-Beffroi,3,1934-07-09 ,
43.94355,4.95052,,C15,PA84000022,Q22980696,Ancien moulin de Blanchefleur ou de Moulin-Neuf,3,1998-11-20 ,
43.8334578,5.2047216999999,building,C17,PA00082213,Q22986628,Hôtel de Tingry,3,1989-11-16 ,
44.0874,5.086498,,C17,PA84000035,Q17346982,"La Campagne de Bacchus, à Serres",3,2003-07-04 ,fr:Campagne de Bacchus de Carpentras
43.92556,5.25139,,,PA00082057,Q22919148,Commanderie des Templiers (ancienne),3,1976-08-05 ,
43.69226,5.49998,building,C18,PA00082132,Q22986519,Hôtel de la Charité (ancien),,,
43.940009,4.831907,fountain,yes,PA00081835,Q22916620,Fontaine couverte sise près du chemin de Fontcouverte en direction de Montfavet,3,1952-09-18 ,
44.205744,5.023595,fountain,yes,PA00082164,Q15948825,Fontaine des Mascarons,2,1984-12-21 ,fr:Fontaine des Mascarons (Séguret)
44.394513443992,4.9288085103035,,C14,PA00082047,Q15953445,Village dit le Vialle (ancien),3,1978-09-07 ,fr:Vialle de Grillon
43.997168,5.060127,building,C17,PA00082123,Q22986514,"Hôtel de ville, ancien hôtel de Brancas-Cheilus",2,2009-03-31 ,
